Name,Has_Broader,Broader_Term
Aster souliei Franch.,yes,Aster
Astragalus menziesii,yes,Astragalus
Astroloba spiralis,yes,Astroloba
Astroloma conostephioides,yes,Astroloma
Astroloma humifusum,yes,Astroloma
Astroloma pinifolium,yes,Astroloma
Athyrium badium,yes,Athyrium
Athyrium distentifolium Opiz,yes,Athyrium
Athyrium distentifolium Opiz var. americanum (Butters) Cronquist,yes,Athyrium distentifolium Opiz
Athyrium filix-femina var. californicum,no,
Athyrium filix-femina var. sitchense,no,
Athyrium goeringianum,yes,Athyrium
Atraphaxis,yes,POLYGONACEAE
Atraphaxis billardierei,yes,Atraphaxis
Atriplex argentea,yes,Atriplex
Atriplex nitens,yes,Atriplex
Aucuba japonica var. bicolor,no,
Austrocactus dusenii,yes,Austrocactus
Avena byzantina,yes,Avena
Avena sterilis,yes,Avena
Avena sterilis subsp. sterilis,yes,Avena sterilis
Avena strigosa,yes,Avena
Averrhoa bilimbi,yes,Averrhoa
Aylostera,yes,CACTACEAE
Aylostera spegazziniana,yes,Aylostera
Aylostera spinosissima,yes,Aylostera
Azara celastrina,yes,Azara
Azara dentata,yes,Azara
Azima,yes,SALVADORACEAE
Azima tetracantha,yes,Azima
Azorella,yes,APIACEAE
Azorella columnaris,yes,Azorella
Azorella compacta,yes,Azorella
Azorella incisa,yes,Azorella
Azorella spinosa,yes,Azorella
Azorella trifurcata,yes,Azorella
Babbagia,yes,AMARANTHACEAE
Babbagia acroptera,yes,Babbagia
Babiana erectifolia,yes,Babiana
Baccharis concava,yes,Baccharis
Baccharis scandens,yes,Baccharis
Baccharis trinervis,yes,Baccharis
Baccharis vaccinoides,yes,Baccharis
Baeria,yes,ASTERACEAE
Baeria chrysostoma,yes,Baeria
Baeria chrysostoma subsp. hirsutula,yes,Baeria chrysostoma
Baeriopsis,yes,ASTERACEAE
Baeriopsis guadalupensis,yes,Baeriopsis
Balanites maughamii,yes,Balanites
Balaustion,yes,MYRTACEAE
Balaustion pulcherrimum,yes,Balaustion
Balbisia peduncularis,yes,Balbisia
Baloghia,yes,EUPHORBIACEAE
Baloghia lucida,yes,Baloghia
Bambusa multiplex,yes,Bambusa
Bambusa tulda,yes,Bambusa
Bambusa tuldoides,yes,Bambusa
Bambusa vulgaris,yes,Bambusa
Banksia ashbyi,yes,Banksia
Banksia attenuata,yes,Banksia
Banksia baueri,yes,Banksia
Banksia baxteri,yes,Banksia
Banksia burdettii,yes,Banksia
Banksia lemanniana,yes,Banksia
Banksia lindleyana,yes,Banksia
Banksia media,yes,Banksia
Banksia menziesii,yes,Banksia
Banksia paludosa,yes,Banksia
Banksia prionotes,yes,Banksia
Banksia quercifolia,yes,Banksia
Banksia repens,yes,Banksia
Banksia sceptrum,yes,Banksia
Banksia speciosa,yes,Banksia
Banksia sphaerocarpa,yes,Banksia
Banksia victoriae,yes,Banksia
Baptisia perfoliata,yes,Baptisia
Barleria aculeata,yes,Barleria
Barleria obtusa,yes,Barleria
Barnadesia wurdackii,yes,Barnadesia
Bartsia,yes,OROBANCHACEAE
Bartsia inaequalis,yes,Bartsia
Basella alba,yes,Basella
Bassia,yes,AMARANTHACEAE
Bassia brachyptera,yes,Bassia
Bassia eriacantha,yes,Bassia
Bassia lanicuspis,yes,Bassia
Bassia sclerolaenoides,yes,Bassia
Bastardia,yes,MALVACEAE
Bastardia bivalvis,yes,Bastardia
BATACEAE,no,
Batis,yes,BATACEAE
Batis maritima,yes,Batis
Bauhinia carronii,yes,Bauhinia
Bauhinia coulteri,yes,Bauhinia
Bauhinia monandra,yes,Bauhinia
Beaufortia sparsa,yes,Beaufortia
Beclardia,yes,ORCHIDACEAE
Beclardia macrostachya,yes,Beclardia
Bedfordia,yes,ASTERACEAE
Bedfordia salicina,yes,Bedfordia
Befaria,yes,ERICACEAE
Begonia bowerae,yes,Begonia
Begonia fimbristipula,yes,Begonia
Begonia goegoensis,yes,Begonia
Begonia lorentzonii Wahlsteen &amp; D. Borah,yes,Begonia
Begonia pustulata,yes,Begonia
Begonia socotrana,yes,Begonia
Berberis chilensis,yes,Berberis
Berberis francisci-ferdinandi,yes,Berberis
Berberis goudotii,yes,Berberis
Berberis manipurana,yes,Berberis
Berberis pruinosa,yes,Berberis
Berberis stenophylla,yes,Berberis
Berberis uniflora,yes,Berberis
Berchemia discolor,yes,Berchemia
Bergenia ligulata,yes,Bergenia
Bergia,yes,ELATINACEAE
Bergia decumbens,yes,Bergia
Bergia glutinosa,yes,Bergia
Bersama,yes,FRANCOACEAE
Bersama swynnertonii,yes,Bersama
Berzelia intermedia,yes,Berzelia
Beta vulgaris var. rapacea,no,
Betula alba,yes,Betula
Bia,yes,EUPHORBIACEAE
Biebersteinia multifida,yes,Biebersteinia
Billbergia chlorosticta,yes,Billbergia
Billbergia kuhlmannii,yes,Billbergia
Billbergia saundersii,yes,Billbergia
Biophytum petersianum,yes,Biophytum
Blakea gracilis,yes,Blakea
Blechnum auriculatum,yes,Blechnum
Blechnum castaneum,yes,Blechnum
Blechnum lineatum,yes,Blechnum
Blechnum punctulatum,yes,Blechnum
Blechnum werckleanum,yes,Blechnum
Blumenbachia,yes,LOASACEAE
Blumenbachia hieronymi,yes,Blumenbachia
Bobartia orientalis,yes,Bobartia
Bocconia arborea,yes,Bocconia
Bocconia vulcanica,yes,Bocconia
Bolbitis cladorrhizans,yes,Bolbitis
Bolbitis heteroclita,yes,Bolbitis
Bolivicereus,yes,CACTACEAE
Bolivicereus serpens,yes,Bolivicereus
Bolusia,yes,FABACEAE
Bombax malabaricum,yes,Bombax
Bontia,yes,SCROPHULARIACEAE
Bontia daphnoides,yes,Bontia
Boronia denticulata,yes,Boronia
Boronia heterophylla,yes,Boronia
Boronia megastigma,yes,Boronia
Boronia purdieana,yes,Boronia
Borzicactus acanthurus,yes,Borzicactus
Borzicactus gracilis,yes,Borzicactus
Borzicactus jajoanus,yes,Borzicactus
Borzicactus morleyanus,yes,Borzicactus
Borzicactus myriacanthus,yes,Borzicactus
Borzicactus sulcifer,yes,Borzicactus
Boscia,yes,CAPPARACEAE
Boscia mossambicensis,yes,Boscia
Bouchea,yes,VERBENACEAE
Bouchea fluminensis,yes,Bouchea
Bougainvillea,yes,NYCTAGINACEAE
Bougainvillea peruviana,yes,Bougainvillea
Boussingaultia,yes,BASELLACEAE
Boussingaultia baselloides,yes,Boussingaultia
Bouteloua eriopoda,yes,Bouteloua
Brachychiton gregorii,yes,Brachychiton
Brachyloma,yes,ERICACEAE
Brachyloma depressum,yes,Brachyloma
Brachyotum cogniauxii,yes,Brachyotum
Brachyotum naudinii,yes,Brachyotum
Brachyotum radula,yes,Brachyotum
Brachysema,yes,FABACEAE
Brachysema aphyllum,yes,Brachysema
Brachystegia,yes,FABACEAE
Brachystegia boehmii,yes,Brachystegia
Brachystegia spiciformis,yes,Brachystegia
Brachystelma nanum,yes,Brachystelma
Brachytome,yes,RUBIACEAE
Brasilicactus,yes,CACTACEAE
Brasilicactus haselbergii,yes,Brasilicactus
Brassia allenii,yes,Brassia
Brassica carinata,yes,Brassica
Brickellia guatemalensis,yes,Brickellia
Brodiaea coronaria var. macropoda,no,
Brodiaea ida-maia,yes,Brodiaea
Brodiaea ixioides,yes,Brodiaea
Brodiaea lutea,yes,Brodiaea
Brodiaea lutea var. cookii,yes,Brodiaea lutea
Brodiaea lutea var. scabra,yes,Brodiaea lutea
Brongniartia,yes,FABACEAE
Brongniartia palmeri,yes,Brongniartia
Broussaisia,yes,HYDRANGEACEAE
Broussaisia arguta,yes,Broussaisia
Browningia candelaris,yes,Browningia
Bruckenthalia,yes,ERICACEAE
Bruckenthalia spiculifolia,yes,Bruckenthalia
Brugmansia arborea,yes,Brugmansia
Brunfelsia,yes,SOLANACEAE
Brunfelsia australis,yes,Brunfelsia
Brunia laevis,yes,Brunia
Bryonia syriaca,yes,Bryonia
Buckleya distichophylla,yes,Buckleya
Bulbine annua,yes,Bulbine
Bulbine bulbosa,yes,Bulbine
Bulbine mesembryanthoides,yes,Bulbine
Bulbinopsis,yes,ASPHODELACEAE
Bulbinopsis semibarbata,yes,Bulbinopsis
